Ticker,Date/Time,Open,High,Low,Close
^ATX,1/31/2013,2402.22,2501.16,2402.22,2446.04
^ATX,2/28/2013,2446.15,2471.86,2367.81,2466.60
^ATX,3/28/2013,2467.27,2550.36,2340.36,2352.01
^ATX,4/30/2013,2352.90,2470.30,2317.15,2414.25
^ATX,5/31/2013,2411.50,2522.54,2338.16,2416.69
^ATX,6/28/2013,2416.13,2428.07,2170.86,2223.98
^ATX,7/31/2013,2224.11,2355.56,2197.44,2337.74
^ATX,8/30/2013,2337.83,2537.11,2336.93,2428.93
^ATX,9/30/2013,2431.98,2549.11,2431.98,2528.45
^ATX,10/31/2013,2528.70,2618.93,2452.29,2602.92
^ATX,11/29/2013,2602.71,2676.80,2594.83,2645.67
^ATX,12/30/2013,2646.74,2646.74,2442.12,2546.54
^ATX,1/31/2014,2548.74,2730.45,2527.61,2559.74
^ATX,2/28/2014,2561.86,2692.17,2505.68,2587.86
^ATX,3/31/2014,2587.49,2587.49,2370.97,2523.82
^ATX,4/30/2014,2524.03,2585.03,2434.60,2525.22
^ATX,5/30/2014,2526.06,2529.65,2377.93,2529.33
^ATX,6/30/2014,2530.38,2586.65,2480.80,2500.85
^ATX,7/31/2014,2502.75,2539.18,2299.10,2310.44
^ATX,8/29/2014,2310.44,2349.50,2208.04,2301.52
^ATX,9/30/2014,2301.70,2363.85,2188.53,2203.94
^ATX,10/31/2014,2204.01,2224.68,1980.53,2214.70
^ATX,11/28/2014,2214.76,2300.44,2175.17,2283.10
^ATX,12/31/2014,2282.39,2293.55,2034.47,2160.08
^ATX,1/30/2015,2159.42,2266.45,2083.22,2191.11
^ATX,2/27/2015,2192.22,2499.47,2184.40,2495.21
^ATX,3/31/2015,2491.03,2549.33,2449.66,2509.82
^ATX,4/30/2015,2509.39,2663.39,2495.59,2586.33
^ATX,5/29/2015,2586.15,2695.57,2536.33,2568.76
^ATX,6/30/2015,2568.91,2615.57,2380.73,2411.77
^ATX,7/31/2015,2411.44,2567.85,2322.35,2499.45
^ATX,8/31/2015,2499.41,2507.88,2173.87,2325.11
^ATX,9/30/2015,2324.96,2324.96,2141.63,2229.49
^ATX,10/30/2015,2229.51,2491.84,2219.58,2420.66
^ATX,11/30/2015,2420.78,2505.93,2378.36,2488.62
^ATX,12/30/2015,2488.07,2515.09,2290.37,2396.94
^ATX,1/29/2016,2396.94,2396.94,2029.54,2162.42
^ATX,2/29/2016,2162.91,2181.73,1929.73,2154.34
^ATX,3/31/2016,2154.28,2334.50,2152.90,2270.38
^ATX,4/29/2016,2270.57,2361.49,2205.56,2329.42
^ATX,5/31/2016,2329.73,2335.41,2179.56,2260.83
^ATX,6/30/2016,2260.96,2266.30,1981.93,2095.96
^ATX,7/29/2016,2096.01,2258.19,1997.21,2233.44
^ATX,8/31/2016,2234.10,2345.87,2166.58,2314.38
^ATX,9/30/2016,2314.27,2426.73,2311.88,2405.28
^ATX,10/31/2016,2405.60,2511.68,2378.44,2473.75
^ATX,11/30/2016,2473.10,2526.10,2362.15,2519.59
